url,filename,loader,comment
"https://www.curseforge.com/api/v1/mods/1055397","Bamboo Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1057403","Sweet Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1068240","Italy Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1075745","Ad Astra Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1076340","Applied Energistics Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1078171","Caves Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1071849","Botania Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1093585","Japan Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1094462","Iron's Spells Delight","forge",""
"https://www.curseforge.com/api/v1/mods/1095870","Biomes O' Plenty Delight","forge",""
"https://cdn.modrinth.com/data/DGiq4ZSW","Ocean's Delight","forge",""
"https://cdn.modrinth.com/data/yHN0njMr","End's Delight","forge",""
"https://cdn.modrinth.com/data/gBGdVBJy","Crabber's Delight","forge",""
"https://cdn.modrinth.com/data/znHQQtuU","More Delight (for Farmer's Delight)","forge",""
"https://cdn.modrinth.com/data/gOQjCAAD","Cuisine Delight","forge",""
"https://cdn.modrinth.com/data/JtSnhtNJ","Delightful","forge",""
"https://cdn.modrinth.com/data/qMxbM4BQ","Miner's Delight","forge",""
"https://cdn.modrinth.com/data/Na8nA0jA","Vegan Delight","forge",""
"https://cdn.modrinth.com/data/zYuGPZIx","Casualness Delight","forge",""
"https://cdn.modrinth.com/data/wmyqU46J","Delightful Sandwiches","forge",""
"https://cdn.modrinth.com/data/AqHNT5iP","Delightful Burgers","forge",""
"https://cdn.modrinth.com/data/g6sbyCTu","Fruits Delight","forge",""
"https://cdn.modrinth.com/data/c9CEGwyC","Alex's Caves Delight","forge",""
"https://cdn.modrinth.com/data/UaESvR5d","Ingredients Delight","forge",""
"https://cdn.modrinth.com/data/jJfV67b1","Citadel","forge","for alexscaves"
"https://cdn.modrinth.com/data/1Ro7m06l","Titanium","forge","for functionalstorage"
"https://cdn.modrinth.com/data/nU0bVIaL","Patchouli","forge","for botania"
"https://cdn.modrinth.com/data/PlkSuVtM","HammerLib","forge","for solarflux"
"https://cdn.modrinth.com/data/40FYwb4z","Caelus API","forge","for irons_spellbooks"
"https://cdn.modrinth.com/data/gedNE4y2","playerAnimator","forge","for irons_spellbooks"
"https://cdn.modrinth.com/data/M1953qlQ","Resourceful Config","forge","for ad_astra_giselle_addon"
"https://cdn.modrinth.com/data/G1hIVOrD","Resourceful Lib","forge","for ad_astra"
"https://cdn.modrinth.com/data/rOUBggPv","SuperMartijn642's Core Lib","forge","for packedup"
"https://cdn.modrinth.com/data/2u6LRnMa","Botarium","forge","for ad_astra"
"https://cdn.modrinth.com/data/Wnxd13zP","Clumps","forge",""
"https://cdn.modrinth.com/data/DjLobEOy","Towns and Towers","forge",""
"https://cdn.modrinth.com/data/joEfVgkn","Carry On","forge",""
"https://cdn.modrinth.com/data/OZBR5JT5","Easy Anvils","forge",""
"https://cdn.modrinth.com/data/cl223EMc","Cristel Lib","forge",""
"https://cdn.modrinth.com/data/ulloLmqG","Another Furniture","forge",""
"https://cdn.modrinth.com/data/RYtXKJPr","GraveStone Mod","forge",""
"https://cdn.modrinth.com/data/BAscRYKm","Chipped","forge",""
"https://cdn.modrinth.com/data/mSQF1NpT","Elytra Slot","forge",""
"https://cdn.modrinth.com/data/vJnhuDde","Cooking for Blockheads","forge",""
"https://www.curseforge.com/api/v1/mods/348521","Cloth Config API","forge",""
"https://cdn.modrinth.com/data/MBAkmtvl","Balm","forge","for cookingforblockheads"
"https://cdn.modrinth.com/data/a9K5upFZ","SebastrnLib","forge","for appliedcooking"
"https://cdn.modrinth.com/data/b1ZV3DIJ","Athena","forge","for Chipped"
